tweet,target
Back from drankin...now going to the movies w my bebe ,1
"@SwayShay I know, and LD is too ",0
Boohoo  Have to wait until 1 PM to download iPhone 3.0 firmware.,0
My internet is mega slow again and ruining my @maureenjohnson blogtv time  BOOOO!,0
thinking of ideas and inspiration for raspberry soda photoshoot  while playing grand theft auto of corse,1
@MagicDandelions I will say prayers for them too ,0
@PoisonedMonkey Aww...poor you   Hayfever is the pits ,0
Oh my God - what the fuck have I eaten?! ,0
@celebritystatus :-| !! I miss u! gnite! no naked ho3s  I'm sad.. lol,0
http://www.colette.fr/#/eshop/article/22859/brian-atwood/90/  I really wish I could walk in heels without breaking my neck ,0
havin brakefast watchin oprah ahhh this is the life  haha,1
"Ug, just woke up from a 4 hour nap and now I can't sleep ",0
Oh gosh i gotta pull it together but im still a lil drunk ,0
@sohamz you should mention SS@facebook as source somewhere  But I guess the full list of sources will be quite long.,1
"@chanzi It was always J's dad that pulled out our sunflowers. The kids would plant the seedlings, and DH would yank him, he thought WEEDS ",1
zJeani tweeter must've burped because I sent a message about some following link as per my status history...but I did NOT send it.  ,0
@TweetaMe I have 290 entries now. But Molly and Autumn were there all day yesterday cleaning up. I had no idea he was doing it yesterday! ,0
How very sad   Legendary CBS journalist Walter Cronkite reportedly gravely ill  http://ow.ly/eYD9,0
contemplating putting the doors on my jeep...looks like a good amount of rain is coming ,0
Wow I'm so glad I came in early to catch the massive demand for the I phone! Now wish I'd had the 3 extra hours in bed! ,0
@pauseproof my jodeci moves aint workin on u ? (damnit back 2 the drawingboard) (disappointment  wit N. Dynamite voice) ,0
"@_Cube_ thank you, you guys are welcome over here too, Rebecca and Mrs Cube can go shopping  ",1
"@Fionakw Hi Fiona, sorry to disappoint you but @sboyle_official is sadly a fake  We'll let you know if she joins Twitter!",0
I Almost passed out.. Don't think that went well ,0
I didn't get to talk to him today -sits in corner- I moose you ,0
i cant believe theyd do that. thats five months of hard work and labour and no enjoyment whatsoever. all thrown away.  i need a hug!,0
absolutely LOVESSS the new moon trailer and can't wait ! ,1
@edgarronda thanks! ,1
"Wishes i could get next week over with right now, and be home for the summer ",0
"@bradcooper I have the DVR set, saw a commercial, it peaked my curiosity. And I was just ripping on folks that watch the family of 8 show ",1
Getting ready to see Steph Schultz ,1
@rowsell  just found the Northern Advocate one - not the same story ,1
@bogwhoppit no point just do it ,1
"@kpompong Not being allowed to read locked twitters even after requesting. Anyway hi, you randomly added me? ",1
watching 27 dresses.. ahh the power of internet   brothers getting up... =S uhhh ohhhh. oh well,1
The muscles on the front/top of both thighs hurt ,0
"incidentally, that is rather beautiful ",1
Going to bed..in like an hour. My tweets aren't coming through on my phone yet ,0
@cat_elliott  i'm off but no way i can get out there....i work until 9pm thursday &amp; have to be back to work at 10am sunday. ,0
lovely day 4 sittin round being lazy....so glad im nt in school while evry1 else is ,1
@ Osaka eatin sOMe yumnmy sushi with the fAm ,1
Ricki is back. ,1
Your mean. ,0
"Sods Law. Looks like the wind is getting up, makes for interesting times on the course ",0
Yay for saturdays full of not much ,1
The people you meet at yardsales are very very interesting...you could make a tv show about them all ,1
agh. ive been on the run all morning! I dont feel like going to work ,0
@blcsfo anything costs more than a bowl of noodles here ,1
"@jennihof sweet puppy! Why do I see him running through the house with my bra, blush brush, amanda's bra, my shoe all in 2 hours. ",1
@TessMorris  No we cant loose you ,0
"Spent the night chillin wit my mommy, had a bad day but she's the perfect mom &amp; mad it all go away  or made me feel better at least",1
@fulltimecasual Ironically I usually watch them the other way around - I'm not tired so I'm watching Aliens. I fall asleep to Alien often ,1
awe my babbiess look so pretty ,1
I really wanted a thunderstorm tonight ,0
Just cleaned the terrarium of my gerbils. They're sooo cute ,1
"@gjessicaF ME TOO. IVORYLINE, SECRET AND WHISPER, EMERY AND MAYLENE&amp;TSOD ON THE SAME TOUR  Wish this was in the UK",0
"@kirstiealley After many attempts, I can't figure out how put a pic in the avatar. Tells me pic is too big. Frustrated trying.......sorry ",0
@flightcontrol great great update!love it! for the next one...whats about local rain or snow or emerc flights which needs priority ,1
My sis ---&gt; @GloriaVelez  love you,0
@Kooljeffrey she can write them at tutoring ,1
"@crichalchemist lol-see, you need to get on the KanYe work out plan TOO -well, minus the &quot;give head/stop, breathe/get up/check ya weave/&quot; ",1
"@emmface Yeah let's not bring it up again, good thing twitter limits the arguments from getting too profound ",1
thinking of &quot;someone&quot; ,1
@oquzhan haftabasÄ± heryerden ,1
@rayyypakk if you win... remember you owe me $123120492059825.00  ,1
@AdviceGirl07 I need some serious advice. Will you follow me so I can send you a direct message? ,1
Watching Milk. I'm off work tomorrow ,1
"@MarieStroughter thanks, thought I would weave a pictoral narrative ",1
